locus_tag	ftype	length_bp	gene	EC_number	COG	product
IABCJNHA_02205	CDS	435	fosB	2.5.1.-	COG0346	Metallothiol transferase FosB
IABCJNHA_02206	CDS	450				hypothetical protein
IABCJNHA_02207	CDS	759				hypothetical protein
IABCJNHA_02208	CDS	315				hypothetical protein
IABCJNHA_02209	CDS	1641				hypothetical protein
IABCJNHA_02210	CDS	618				hypothetical protein
IABCJNHA_02211	CDS	807				hypothetical protein
IABCJNHA_02212	CDS	1215	gerBC_2			Spore germination protein B3
IABCJNHA_02213	CDS	1092	yndE_1			Spore germination protein YndE
IABCJNHA_02214	CDS	1560	gerBA_2			Spore germination protein B1
IABCJNHA_02215	CDS	111				hypothetical protein
IABCJNHA_02216	CDS	189				hypothetical protein
IABCJNHA_02217	CDS	435	yndB		COG3832	putative protein YndB
IABCJNHA_02218	CDS	399				hypothetical protein
IABCJNHA_02219	CDS	189	tatAy_1			Sec-independent protein translocase protein TatAy
IABCJNHA_02220	CDS	201	cotC			Spore coat protein C
IABCJNHA_02221	CDS	357				hypothetical protein
IABCJNHA_02222	CDS	753	yncM_2			putative protein YncM
IABCJNHA_02223	CDS	213				hypothetical protein
IABCJNHA_02224	CDS	840	thyA1	2.1.1.45	COG0207	Thymidylate synthase 1
IABCJNHA_02225	CDS	177				hypothetical protein
IABCJNHA_02226	CDS	261	ynzH			putative protein YnzH
IABCJNHA_02227	CDS	174				hypothetical protein
IABCJNHA_02228	CDS	435	yncF	3.6.1.23	COG0756	putative deoxyuridine 5'-triphosphate nucleotidohydrolase YncF
IABCJNHA_02229	CDS	462				hypothetical protein
IABCJNHA_02230	CDS	1185	alr2	5.1.1.1	COG0787	Alanine racemase 2
IABCJNHA_02231	CDS	1374	iolT_2			Major myo-inositol transporter IolT
IABCJNHA_02232	CDS	636	yncB	3.1.-.-	COG1525	Endonuclease YncB
IABCJNHA_02233	CDS	1500	xylB_3	2.7.1.17	COG1070	Xylulose kinase
IABCJNHA_02234	CDS	1338	xylA	5.3.1.5		Xylose isomerase
IABCJNHA_02235	CDS	1155	nagC		COG1940	N-acetylglucosamine repressor
IABCJNHA_02236	CDS	1602	xynB	3.2.1.37	COG3507	Beta-xylosidase
IABCJNHA_02237	CDS	1392	xylP_1			Isoprimeverose transporter
IABCJNHA_02238	CDS	471				hypothetical protein
IABCJNHA_02239	CDS	120				hypothetical protein
IABCJNHA_02240	CDS	276				hypothetical protein
IABCJNHA_02241	CDS	354				hypothetical protein
IABCJNHA_02242	CDS	642				hypothetical protein
IABCJNHA_02243	CDS	513		2.3.1.-	COG1670	Acetyltransferase
IABCJNHA_02244	CDS	792				hypothetical protein
IABCJNHA_02245	CDS	435				hypothetical protein
IABCJNHA_02246	CDS	252				hypothetical protein
IABCJNHA_02247	CDS	345				hypothetical protein
IABCJNHA_02248	CDS	291				hypothetical protein
IABCJNHA_02249	CDS	1335	glnA	6.3.1.2	COG0174	Glutamine synthetase
IABCJNHA_02250	CDS	408	glnR		COG0789	HTH-type transcriptional regulator GlnR
IABCJNHA_02251	CDS	1266				hypothetical protein
IABCJNHA_02252	CDS	1263	hflX		COG2262	GTPase HflX
IABCJNHA_02253	CDS	969	spoVK		COG0464	Stage V sporulation protein K
IABCJNHA_02254	CDS	768	cwlC	3.5.1.28	COG0860	Sporulation-specific N-acetylmuramoyl-L-alanine amidase
IABCJNHA_02255	CDS	621				hypothetical protein
IABCJNHA_02256	CDS	990	nrdF	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta
IABCJNHA_02257	CDS	2103	nrdE	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase subunit alpha
IABCJNHA_02258	CDS	303	nrdI		COG1780	Protein NrdI
IABCJNHA_02259	CDS	231				hypothetical protein
IABCJNHA_02260	CDS	273	ymzC			putative protein YmzC
IABCJNHA_02261	CDS	222	hfq		COG1923	RNA-binding protein Hfq
IABCJNHA_02262	CDS	945	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
IABCJNHA_02263	CDS	405				hypothetical protein
IABCJNHA_02264	CDS	276				hypothetical protein
IABCJNHA_02265	CDS	321	ebrA			Multidrug resistance protein EbrA
IABCJNHA_02266	CDS	354	ebrB			Multidrug resistance protein EbrB
IABCJNHA_02267	CDS	453				hypothetical protein
IABCJNHA_02268	CDS	708				hypothetical protein
IABCJNHA_02269	CDS	1329	aprX	3.4.21.-	COG1404	Serine protease AprX
IABCJNHA_02270	CDS	843				hypothetical protein
IABCJNHA_02271	CDS	357				hypothetical protein
IABCJNHA_02272	CDS	1218	pksS_2	1.14.-.-	COG2124	Polyketide biosynthesis cytochrome P450 PksS
IABCJNHA_02273	CDS	7632	pksR	2.3.1.-	COG3319	Polyketide synthase PksR
IABCJNHA_02274	CDS	9720	pksN_1	2.3.1.-	COG1020	Polyketide synthase PksN
IABCJNHA_02275	CDS	6876	pksN_2	2.3.1.-	COG1020	Polyketide synthase PksN
IABCJNHA_02276	CDS	12789	pksM			Polyketide synthase PksM
IABCJNHA_02277	CDS	13599	pksL		COG3321	Polyketide synthase PksL
IABCJNHA_02278	CDS	15132	pksJ		COG0318	Polyketide synthase PksJ
IABCJNHA_02279	CDS	750	pksI	4.-.-.-	COG1024	Putative polyketide biosynthesis enoyl-CoA isomerase PksI
IABCJNHA_02280	CDS	771	pksH	4.2.1.-	COG1024	putative polyketide biosynthesis enoyl-CoA hydratase PksH
IABCJNHA_02281	CDS	1263	pksG	2.3.3.-	COG3425	Polyketide biosynthesis 3-hydroxy-3-methylglutaryl-ACP synthase PksG
IABCJNHA_02282	CDS	1248	pksF	4.1.1.87	COG0304	Polyketide biosynthesis malonyl-ACP decarboxylase PksF
IABCJNHA_02283	CDS	249	acpK		COG0236	Polyketide biosynthesis acyl-carrier-protein AcpK
IABCJNHA_02284	CDS	2304	pksE		COG0331	Polyketide biosynthesis protein PksE
IABCJNHA_02285	CDS	975	pksD	2.3.1.-		Polyketide biosynthesis acyltransferase PksD
IABCJNHA_02286	CDS	132				hypothetical protein
IABCJNHA_02287	CDS	867	pksC	2.3.1.39	COG0331	Polyketide biosynthesis malonyl CoA-acyl carrier protein transacylase PksC
IABCJNHA_02288	CDS	678	pksB	3.-.-.-	COG0491	putative polyketide biosynthesis zinc-dependent hydrolase PksB
IABCJNHA_02289	CDS	618	betI		COG1309	HTH-type transcriptional regulator BetI
IABCJNHA_02290	CDS	558				hypothetical protein
IABCJNHA_02291	CDS	105				hypothetical protein
IABCJNHA_02292	CDS	456				hypothetical protein
IABCJNHA_02293	CDS	1890	mutL		COG0323	DNA mismatch repair protein MutL
IABCJNHA_02294	CDS	2577	mutS		COG0249	DNA mismatch repair protein MutS
IABCJNHA_02295	CDS	546	cotE			Spore coat protein E
IABCJNHA_02296	CDS	432	ymcA		COG4550	putative protein YmcA
IABCJNHA_02297	CDS	1530	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
IABCJNHA_02298	CDS	1179		2.3.1.29	COG0156	8-amino-7-oxononanoate synthase/2-amino-3-ketobutyrate coenzyme A ligase
IABCJNHA_02299	CDS	1044	tdh	1.1.1.103	COG1063	L-threonine 3-dehydrogenase
IABCJNHA_02300	CDS	261	spoVS		COG2359	Stage V sporulation protein S
IABCJNHA_02301	CDS	795	ymdB	3.1.4.16	COG1692	2',3'-cyclic-nucleotide 2'-phosphodiesterase
IABCJNHA_02302	CDS	1563	rny	3.1.-.-	COG1418	Ribonuclease Y
IABCJNHA_02303	CDS	1176	pbpX		COG1680	Putative penicillin-binding protein PbpX
IABCJNHA_02304	CDS	1047	recA		COG0468	Protein RecA
IABCJNHA_02305	CDS	1251	cinA		COG1058	Putative competence-damage inducible protein
IABCJNHA_02306	CDS	582	pgsA	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
IABCJNHA_02307	CDS	915				hypothetical protein
IABCJNHA_02308	CDS	327				hypothetical protein
IABCJNHA_02309	CDS	516				hypothetical protein
IABCJNHA_02310	CDS	258	yflH_1			putative protein YflH
IABCJNHA_02311	CDS	729	fabG_4	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
IABCJNHA_02312	CDS	1287				hypothetical protein
IABCJNHA_02313	CDS	1281				hypothetical protein
IABCJNHA_02314	CDS	1209	ymfD_2			Bacillibactin exporter
IABCJNHA_02315	CDS	726	nagR_2		COG2188	HTH-type transcriptional repressor NagR
IABCJNHA_02316	CDS	2364	spoIIIE		COG1674	DNA translocase SpoIIIE
IABCJNHA_02317	CDS	213				hypothetical protein
IABCJNHA_02318	CDS	738	tepA		COG0740	Translocation-enhancing protein TepA
IABCJNHA_02319	CDS	1668	rnjB	3.1.-.-	COG0595	Ribonuclease J2
IABCJNHA_02320	CDS	873	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
IABCJNHA_02321	CDS	1215	ask	2.7.2.4	COG0527	Aspartokinase
IABCJNHA_02322	CDS	1041	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
IABCJNHA_02323	CDS	603	dpaB	1.3.1.-	COG0452	Dipicolinate synthase subunit B
IABCJNHA_02324	CDS	894	dpaA	1.3.1.-		Dipicolinate synthase subunit A
IABCJNHA_02325	CDS	258				hypothetical protein
IABCJNHA_02326	CDS	1230		3.4.24.-	COG0612	putative zinc protease
IABCJNHA_02327	CDS	900				hypothetical protein
IABCJNHA_02328	CDS	2118	pnp_1	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
IABCJNHA_02329	CDS	270	rpsO		COG0184	30S ribosomal protein S15
IABCJNHA_02330	CDS	951	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
IABCJNHA_02331	CDS	930	truB	5.4.99.25		tRNA pseudouridine synthase B
IABCJNHA_02332	CDS	354	rbfA			Ribosome-binding factor A
IABCJNHA_02333	CDS	279				hypothetical protein
IABCJNHA_02334	CDS	2151	infB			Translation initiation factor IF-2
IABCJNHA_02335	CDS	303	rplGA		COG1358	putative ribosomal protein YlxQ
IABCJNHA_02336	CDS	276				hypothetical protein
IABCJNHA_02337	CDS	1116	nusA		COG0195	Transcription termination/antitermination protein NusA
IABCJNHA_02338	CDS	471	rimP		COG0779	Ribosome maturation factor RimP
IABCJNHA_02339	CDS	4365	polC	2.7.7.7	COG2176	DNA polymerase III PolC-type
IABCJNHA_02340	CDS	1695	proS	6.1.1.15		Proline--tRNA ligase
IABCJNHA_02341	CDS	1263	rasP	3.4.24.-	COG0750	Regulator of sigma-W protease RasP
IABCJNHA_02342	CDS	1152	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
IABCJNHA_02343	CDS	801				hypothetical protein
IABCJNHA_02344	CDS	783	uppS	2.5.1.31		Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
IABCJNHA_02345	CDS	558	frr		COG0233	Ribosome-recycling factor
IABCJNHA_02346	CDS	723	pyrH	2.7.4.22	COG0528	Uridylate kinase
IABCJNHA_02347	CDS	882	tsf		COG0264	Elongation factor Ts
IABCJNHA_02348	CDS	741	rpsB		COG0052	30S ribosomal protein S2
IABCJNHA_02349	CDS	504				hypothetical protein
IABCJNHA_02350	CDS	765	sigD		COG1191	RNA polymerase sigma-D factor
IABCJNHA_02351	CDS	501	cheD	3.5.1.44	COG1871	Chemoreceptor glutamine deamidase CheD
IABCJNHA_02352	CDS	630	cheC	3.-.-.-	COG1776	CheY-P phosphatase CheC
IABCJNHA_02353	CDS	471	cheW		COG0835	Chemotaxis protein CheW
IABCJNHA_02354	CDS	2019	cheA	2.7.13.3	COG0643	Chemotaxis protein CheA
IABCJNHA_02355	CDS	1074	cheB_1	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
IABCJNHA_02356	CDS	891	ylxH		COG0455	Flagellum site-determining protein YlxH
IABCJNHA_02357	CDS	1101	flhF		COG1419	Flagellar biosynthesis protein FlhF
IABCJNHA_02358	CDS	2034	flhA		COG1298	Flagellar biosynthesis protein FlhA
IABCJNHA_02359	CDS	1083	flhB_1		COG1377	Flagellar biosynthetic protein FlhB
IABCJNHA_02360	CDS	780	fliR		COG1684	Flagellar biosynthetic protein FliR
IABCJNHA_02361	CDS	270	fliQ		COG1987	Flagellar biosynthetic protein FliQ
IABCJNHA_02362	CDS	666	fliP		COG1338	Flagellar biosynthetic protein FliP
IABCJNHA_02363	CDS	660				hypothetical protein
IABCJNHA_02364	CDS	363	cheY_2		COG0784	Chemotaxis protein CheY
IABCJNHA_02365	CDS	1137				hypothetical protein
IABCJNHA_02366	CDS	999	fliM		COG1868	Flagellar motor switch protein FliM
IABCJNHA_02367	CDS	423				hypothetical protein
IABCJNHA_02368	CDS	795	flgG_3		COG4786	Flagellar basal-body rod protein FlgG
IABCJNHA_02369	CDS	423				hypothetical protein
IABCJNHA_02370	CDS	1464				hypothetical protein
IABCJNHA_02371	CDS	615				hypothetical protein
IABCJNHA_02372	CDS	444	fliJ		COG2882	Flagellar FliJ protein
IABCJNHA_02373	CDS	1317	yscN	7.1.2.2		putative ATP synthase YscN
IABCJNHA_02374	CDS	762				hypothetical protein
IABCJNHA_02375	CDS	1017	fliG		COG1536	Flagellar motor switch protein FliG
IABCJNHA_02376	CDS	1611	fliF		COG1766	Flagellar M-ring protein
IABCJNHA_02377	CDS	321	fliE			Flagellar hook-basal body complex protein FliE
IABCJNHA_02378	CDS	453	flgC		COG1558	Flagellar basal-body rod protein FlgC
IABCJNHA_02379	CDS	390	flgB		COG1815	Flagellar basal body rod protein FlgB
IABCJNHA_02380	CDS	780	codY		COG4465	GTP-sensing transcriptional pleiotropic repressor CodY
IABCJNHA_02381	CDS	1404	clpY		COG1220	ATP-dependent protease ATPase subunit ClpY
IABCJNHA_02382	CDS	546	clpQ	3.4.21.-	COG5405	ATP-dependent protease subunit ClpQ
IABCJNHA_02383	CDS	915	xerC		COG4974	Tyrosine recombinase XerC
IABCJNHA_02384	CDS	1308	trmFO	2.1.1.74	COG1206	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO
IABCJNHA_02385	CDS	2076	topA	5.6.2.1		DNA topoisomerase 1
IABCJNHA_02386	CDS	894	dprA		COG0758	DNA processing protein DprA
IABCJNHA_02387	CDS	903	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
IABCJNHA_02388	CDS	1158	sucC	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
IABCJNHA_02389	CDS	282	flhB_2		COG1377	Flagellar biosynthetic protein FlhB
IABCJNHA_02390	CDS	1731				hypothetical protein
IABCJNHA_02391	CDS	768	rnhB	3.1.26.4	COG0164	Ribonuclease HII
IABCJNHA_02392	CDS	849	rbgA		COG1161	Ribosome biogenesis GTPase A
IABCJNHA_02393	CDS	348	rplS		COG0335	50S ribosomal protein L19
IABCJNHA_02394	CDS	732	trmD	2.1.1.228		tRNA (guanine-N(1)-)-methyltransferase
IABCJNHA_02395	CDS	525	rimM			Ribosome maturation factor RimM
IABCJNHA_02396	CDS	387				hypothetical protein
IABCJNHA_02397	CDS	246				hypothetical protein
IABCJNHA_02398	CDS	273	rpsP		COG0228	30S ribosomal protein S16
IABCJNHA_02399	CDS	1341	ffh		COG0541	Signal recognition particle protein
IABCJNHA_02400	CDS	333				hypothetical protein
IABCJNHA_02401	CDS	486	ylqB			putative protein YlqB
IABCJNHA_02402	CDS	990	ftsY		COG0552	Signal recognition particle receptor FtsY
IABCJNHA_02403	CDS	3561	smc_1		COG1196	Chromosome partition protein Smc
IABCJNHA_02404	CDS	750	rnc	3.1.26.3	COG0571	Ribonuclease 3
IABCJNHA_02405	CDS	234	acpA		COG0236	Acyl carrier protein
IABCJNHA_02406	CDS	741	fabG_5	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
IABCJNHA_02407	CDS	954	fabD	2.3.1.39		Malonyl CoA-acyl carrier protein transacylase
IABCJNHA_02408	CDS	1002	plsX	2.3.1.274	COG0416	Phosphate acyltransferase
IABCJNHA_02409	CDS	567	fapR		COG2050	Transcription factor FapR
IABCJNHA_02410	CDS	2049	recG	3.6.4.12		ATP-dependent DNA helicase RecG
IABCJNHA_02411	CDS	903	sdhA	4.3.1.17		L-serine dehydratase, alpha chain
IABCJNHA_02412	CDS	663	sdhB	4.3.1.17		L-serine dehydratase, beta chain
IABCJNHA_02413	CDS	1662				putative protein
IABCJNHA_02414	CDS	363				putative protein
IABCJNHA_02415	CDS	189	rpmB		COG0227	50S ribosomal protein L28
IABCJNHA_02416	CDS	645	thiN	2.7.6.2	COG1564	Thiamine pyrophosphokinase
IABCJNHA_02417	CDS	654	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
IABCJNHA_02418	CDS	897	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
IABCJNHA_02419	CDS	1947	prkC	2.7.11.1	COG0515	Serine/threonine-protein kinase PrkC
IABCJNHA_02420	CDS	765	prpC	3.1.3.16	COG0631	Protein phosphatase PrpC
IABCJNHA_02421	CDS	1092	rlmN	2.1.1.192		putative dual-specificity RNA methyltransferase RlmN
IABCJNHA_02422	CDS	1344	rsmB	2.1.1.176	COG0144	Ribosomal RNA small subunit methyltransferase B
IABCJNHA_02423	CDS	954	fmt	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
IABCJNHA_02424	CDS	483	def1	3.5.1.88	COG0242	Peptide deformylase 1
IABCJNHA_02425	CDS	2418	priA_2	3.6.4.-		primosomal protein N'
IABCJNHA_02426	CDS	1221	undec1A	4.1.1.-		Cysteine/Cysteine sulfinic acid decarboxylase
IABCJNHA_02427	CDS	204	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
IABCJNHA_02428	CDS	615	gmk	2.7.4.8	COG0194	Guanylate kinase
IABCJNHA_02429	CDS	270	remA		COG2052	Extracellular matrix regulatory protein A
IABCJNHA_02430	CDS	876				hypothetical protein
IABCJNHA_02431	CDS	2673	yloB	7.2.2.10	COG0474	Calcium-transporting ATPase
IABCJNHA_02432	CDS	1713	rqcH		COG1293	Rqc2 RqcH
IABCJNHA_02433	CDS	489	sirC	1.3.1.76		Precorrin-2 dehydrogenase
IABCJNHA_02434	CDS	786	sirB	4.99.1.4	COG2138	Sirohydrochlorin ferrochelatase
IABCJNHA_02435	CDS	774	sumT	2.1.1.107	COG0007	Uroporphyrinogen-III C-methyltransferase
IABCJNHA_02436	CDS	594	cysC_1	2.7.1.25	COG0529	putative adenylyl-sulfate kinase
IABCJNHA_02437	CDS	1149	sat_1	2.7.7.4	COG2046	Sulfate adenylyltransferase
IABCJNHA_02438	CDS	1065	cysP		COG0306	Sulfate permease CysP
IABCJNHA_02439	CDS	702	cysH_1	1.8.4.8	COG0175	Phosphoadenosine phosphosulfate reductase
IABCJNHA_02440	CDS	162				hypothetical protein
IABCJNHA_02441	CDS	633	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
IABCJNHA_02442	CDS	720	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
IABCJNHA_02443	CDS	936	pyrD	1.3.1.14	COG0167	Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit
IABCJNHA_02444	CDS	771	pyrK		COG0543	Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit
IABCJNHA_02445	CDS	3216	carB_1	6.3.5.5		Carbamoyl-phosphate synthase large chain
IABCJNHA_02446	CDS	1095	carA_1	6.3.5.5		Carbamoyl-phosphate synthase small chain
IABCJNHA_02447	CDS	1287	pyrC	3.5.2.3	COG0044	Dihydroorotase
IABCJNHA_02448	CDS	915	pyrB	2.1.3.2	COG0540	Aspartate carbamoyltransferase
IABCJNHA_02449	CDS	1338	pyrP			Uracil permease
IABCJNHA_02450	CDS	546	pyrR		COG2065	Bifunctional protein PyrR
IABCJNHA_02451	CDS	912	rluD_1	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
IABCJNHA_02452	CDS	465	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
IABCJNHA_02453	CDS	375	dksA_2			RNA polymerase-binding transcription factor DksA
IABCJNHA_02454	CDS	2766	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
IABCJNHA_02455	CDS	495	divIVA		COG3599	Septum site-determining protein DivIVA
IABCJNHA_02456	CDS	774				hypothetical protein
IABCJNHA_02457	CDS	273				hypothetical protein
IABCJNHA_02458	CDS	456	sepF		COG1799	Cell division protein SepF
IABCJNHA_02459	CDS	693			COG0325	Pyridoxal phosphate homeostasis protein
IABCJNHA_02460	CDS	837	rl5	1.10.3.-		Polyphenol oxidase
IABCJNHA_02461	CDS	246	ylmC		COG1873	putative sporulation protein YlmC
IABCJNHA_02462	CDS	1281	ylmB_2	3.5.1.-	COG0624	N-formyl-4-amino-5-aminomethyl-2-methylpyrimidine deformylase
IABCJNHA_02463	CDS	795	ylmA	3.6.3.-	COG1119	putative ABC transporter ATP-binding protein YlmA
IABCJNHA_02464	CDS	783	sigG		COG1191	RNA polymerase sigma-G factor
IABCJNHA_02465	CDS	720	sigE		COG1191	RNA polymerase sigma-E factor
IABCJNHA_02466	CDS	957	spoIIGA	3.4.23.-		Sporulation sigma-E factor-processing peptidase
IABCJNHA_02467	CDS	4302	bpr	3.4.21.-	COG1404	Bacillopeptidase F
IABCJNHA_02468	CDS	1149	ftsZ		COG0206	Cell division protein FtsZ
IABCJNHA_02469	CDS	1323	ftsA		COG0849	Cell division protein FtsA
IABCJNHA_02470	CDS	366				hypothetical protein
IABCJNHA_02471	CDS	594				hypothetical protein
IABCJNHA_02472	CDS	696				hypothetical protein
IABCJNHA_02473	CDS	792	divIB		COG1589	Cell division protein DivIB
IABCJNHA_02474	CDS	912	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
IABCJNHA_02475	CDS	1092	murG_2	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
IABCJNHA_02476	CDS	1026	ftsW_1	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
IABCJNHA_02477	CDS	1356	murD	6.3.2.9		UDP-N-acetylmuramoylalanine--D-glutamate ligase
IABCJNHA_02478	CDS	975	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
IABCJNHA_02479	CDS	1485	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
IABCJNHA_02480	CDS	1941	spoVD		COG0768	Stage V sporulation protein D
IABCJNHA_02481	CDS	2142	pbpB		COG0768	Penicillin-binding protein 2B
IABCJNHA_02482	CDS	354	ftsL		COG4839	Cell division protein FtsL
IABCJNHA_02483	CDS	936	rsmH_2	2.1.1.199		Ribosomal RNA small subunit methyltransferase H
IABCJNHA_02484	CDS	447	mraZ			Transcriptional regulator MraZ
IABCJNHA_02485	CDS	1620	bshC	6.-.-.-	COG4365	Putative cysteine ligase BshC
IABCJNHA_02486	CDS	897	panE	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
IABCJNHA_02487	CDS	483	ylbP	2.3.1.-		putative N-acetyltransferase YlbP
IABCJNHA_02488	CDS	582	rsfA_2			Prespore-specific transcriptional regulator RsfA
IABCJNHA_02489	CDS	180	rpmF		COG0333	50S ribosomal protein L32
IABCJNHA_02490	CDS	519				hypothetical protein
IABCJNHA_02491	CDS	186				hypothetical protein
IABCJNHA_02492	CDS	1248	tmcAL	6.3.4.-	COG1323	tRNA(Met) cytidine acetate ligase
IABCJNHA_02493	CDS	1026	ylbL		COG3480	putative protein YlbL
IABCJNHA_02494	CDS	783				hypothetical protein
IABCJNHA_02495	CDS	1227	ylbJ		COG3314	Sporulation integral membrane protein YlbJ
IABCJNHA_02496	CDS	486	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
IABCJNHA_02497	CDS	555	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
IABCJNHA_02498	CDS	252				hypothetical protein
IABCJNHA_02499	CDS	450				hypothetical protein
IABCJNHA_02500	CDS	240				hypothetical protein
IABCJNHA_02501	CDS	399				hypothetical protein
IABCJNHA_02502	CDS	1086				hypothetical protein
IABCJNHA_02503	CDS	447	hrp1_1		COG0517	Hypoxic response protein 1
IABCJNHA_02504	CDS	363				hypothetical protein
IABCJNHA_02505	CDS	894				hypothetical protein
IABCJNHA_02506	CDS	333	caaD	1.9.3.1		Cytochrome c oxidase subunit 4B
IABCJNHA_02507	CDS	624	ctaE	1.9.3.1		Cytochrome c oxidase subunit 3
IABCJNHA_02508	CDS	1869	ctaD	1.9.3.1		Cytochrome c oxidase subunit 1
IABCJNHA_02509	CDS	1071	ctaC	1.9.3.1		Cytochrome c oxidase subunit 2
IABCJNHA_02510	CDS	918	ctaB2	2.5.1.141	COG0109	Protoheme IX farnesyltransferase 2
IABCJNHA_02511	CDS	921	ctaA	1.3.-.-	COG1612	Heme A synthase
IABCJNHA_02512	CDS	3447	pycA	6.4.1.1		Pyruvate carboxylase
IABCJNHA_02513	CDS	1212	ftsW_2	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
IABCJNHA_02514	CDS	282				hypothetical protein
IABCJNHA_02515	CDS	930	glsA2	3.5.1.2	COG2066	Glutaminase 2
IABCJNHA_02516	CDS	486				hypothetical protein
IABCJNHA_02517	CDS	1329				hypothetical protein
IABCJNHA_02518	CDS	630				hypothetical protein
IABCJNHA_02519	CDS	207				hypothetical protein
IABCJNHA_02520	CDS	318				hypothetical protein
IABCJNHA_02521	CDS	1839	typA		COG1217	GTP-binding protein TypA/BipA
IABCJNHA_02522	CDS	189				hypothetical protein
IABCJNHA_02523	CDS	612				hypothetical protein
IABCJNHA_02524	CDS	294				hypothetical protein
IABCJNHA_02525	CDS	522	ylaC			RNA polymerase sigma factor YlaC
IABCJNHA_02526	CDS	270				hypothetical protein
IABCJNHA_02527	CDS	1932				hypothetical protein
IABCJNHA_02528	CDS	1566	nprE	3.4.24.28	COG3227	Bacillolysin
IABCJNHA_02529	CDS	915				hypothetical protein
IABCJNHA_02530	CDS	468				hypothetical protein
IABCJNHA_02531	CDS	798	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
IABCJNHA_02532	CDS	246				hypothetical protein
IABCJNHA_02533	CDS	639				hypothetical protein
IABCJNHA_02534	CDS	267				hypothetical protein
IABCJNHA_02535	CDS	1473	speA_1	4.1.1.19	COG1982	Arginine decarboxylase
IABCJNHA_02536	CDS	483				hypothetical protein
IABCJNHA_02537	CDS	1413	pdhD_2	1.8.1.4		Dihydrolipoyl dehydrogenase
IABCJNHA_02538	CDS	1329	pdhC_2	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
IABCJNHA_02539	CDS	978	pdhB	1.2.4.1		Pyruvate dehydrogenase E1 component subunit beta
IABCJNHA_02540	CDS	1116	pdhA	1.2.4.1	COG1071	Pyruvate dehydrogenase E1 component subunit alpha
IABCJNHA_02541	CDS	672				hypothetical protein
IABCJNHA_02542	CDS	159				hypothetical protein
IABCJNHA_02543	CDS	555	defB	3.5.1.88	COG0242	Peptide deformylase 2
IABCJNHA_02544	CDS	822				Putative bifunctional phosphatase/peptidyl-prolyl cis-trans isomerase
IABCJNHA_02545	CDS	210				hypothetical protein
IABCJNHA_02546	CDS	1668	rnjA	3.1.-.-	COG0595	Ribonuclease J1
IABCJNHA_02547	CDS	1734	adeC	3.5.4.2		Adenine deaminase
